Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Empirical,16S_meanShift2,1,1,CLR-LASSO,0.544,1,1,2.6610000000000014,124,FALSE,2
Empirical,16S_meanShift2,1,1,Coda-LASSO,0.514,3,1,61.857,124,FALSE,2
Empirical,16S_meanShift2,1,2,DCV-ridgeRegression,0.7252,70,470,NA,124,FALSE,2
Empirical,16S_meanShift2,1,2,DCV-ridgeEnsemble,0.7272,70,470,NA,124,FALSE,2
Empirical,16S_meanShift2,1,2,DCV-rfRFE,0.7096,58,214,NA,124,FALSE,2
Empirical,16S_meanShift2,1,2,CLR-LASSO,0.4736,2,2,1.4519999999999982,124,FALSE,2
Empirical,16S_meanShift2,1,2,Coda-LASSO,0.5088,4,1,57.64799999999991,124,FALSE,2
Empirical,16S_meanShift2,1,2,DCV-ridgeRegression,0.7824,70,407,NA,124,FALSE,2
Empirical,16S_meanShift2,1,2,DCV-ridgeEnsemble,0.784,70,407,NA,124,FALSE,2
Empirical,16S_meanShift2,1,2,DCV-rfRFE,0.7872,51,154,NA,124,FALSE,2
Empirical,16S_meanShift2,2,1,CLR-LASSO,0.64,1,1,0.6709999999998217,124,FALSE,2
Empirical,16S_meanShift2,2,1,Coda-LASSO,0.4896,2,1,30.49000000000001,124,FALSE,2
Empirical,16S_meanShift2,2,2,DCV-ridgeRegression,0.7156,70,435,NA,124,FALSE,2
Empirical,16S_meanShift2,2,2,DCV-ridgeEnsemble,0.7108,70,435,NA,124,FALSE,2
Empirical,16S_meanShift2,2,2,DCV-rfRFE,0.7188,57,164,NA,124,FALSE,2
Empirical,16S_meanShift2,2,2,CLR-LASSO,0.554,3,3,1.3679999999999382,124,FALSE,2
Empirical,16S_meanShift2,2,2,Coda-LASSO,0.5792,2,1,59.822000000000116,124,FALSE,2
Empirical,16S_meanShift2,2,2,DCV-ridgeRegression,0.7776,47,266,NA,124,FALSE,2
Empirical,16S_meanShift2,2,2,DCV-ridgeEnsemble,0.7672,47,266,NA,124,FALSE,2
Empirical,16S_meanShift2,2,2,DCV-rfRFE,0.7356,36,80,NA,124,FALSE,2
Empirical,16S_meanShift2,3,1,CLR-LASSO,0.5,0,0,1.1709999999998217,124,FALSE,2
Empirical,16S_meanShift2,3,1,Coda-LASSO,0.5044,2,1,75.93100000000004,124,FALSE,2
Empirical,16S_meanShift2,3,2,DCV-ridgeRegression,0.7136,70,276,NA,124,FALSE,2
Empirical,16S_meanShift2,3,2,DCV-ridgeEnsemble,0.7064,70,276,NA,124,FALSE,2
Empirical,16S_meanShift2,3,2,DCV-rfRFE,0.7104,62,190,NA,124,FALSE,2
Empirical,16S_meanShift2,3,2,CLR-LASSO,0.6396,2,2,1.231999999999971,124,FALSE,2
Empirical,16S_meanShift2,3,2,Coda-LASSO,0.6052,3,1,57.74699999999939,124,FALSE,2
Empirical,16S_meanShift2,3,2,DCV-ridgeRegression,0.6988,47,266,NA,124,FALSE,2
Empirical,16S_meanShift2,3,2,DCV-ridgeEnsemble,0.692,47,266,NA,124,FALSE,2
Empirical,16S_meanShift2,3,2,DCV-rfRFE,0.6779999999999999,36,80,NA,124,FALSE,2
Empirical,16S_meanShift2,4,1,CLR-LASSO,0.5,0,0,1.131999999999607,124,FALSE,2
Empirical,16S_meanShift2,4,1,Coda-LASSO,0.4884,2,1,96.618000000000393,124,FALSE,2
Empirical,16S_meanShift2,4,2,DCV-ridgeRegression,0.724,47,204,NA,124,FALSE,2
Empirical,16S_meanShift2,4,2,DCV-ridgeEnsemble,0.7163999999999999,47,204,NA,124,FALSE,2
Empirical,16S_meanShift2,4,2,DCV-rfRFE,0.7288,37,93,NA,124,FALSE,2
Empirical,16S_meanShift2,4,2,CLR-LASSO,0.5,0,0,1.1169999999992797,124,FALSE,2
Empirical,16S_meanShift2,4,2,Coda-LASSO,0.5208,2,1,57.634000000000015,124,FALSE,2
Empirical,16S_meanShift2,4,2,DCV-ridgeRegression,0.6968,24,105,NA,124,FALSE,2
Empirical,16S_meanShift2,4,2,DCV-ridgeEnsemble,0.6844,24,105,NA,124,FALSE,2
Empirical,16S_meanShift2,4,2,DCV-rfRFE,0.6944,23,64,NA,124,FALSE,2
Empirical,16S_meanShift2,5,1,CLR-LASSO,0.5,0,0,0.9619999999995343,124,FALSE,2
Empirical,16S_meanShift2,5,1,Coda-LASSO,0.516,2,1,78.72000000000025,124,FALSE,2
Empirical,16S_meanShift2,5,2,DCV-ridgeRegression,0.7192,24,87,NA,124,FALSE,2
Empirical,16S_meanShift2,5,2,DCV-ridgeEnsemble,0.7128,24,87,NA,124,FALSE,2
Empirical,16S_meanShift2,5,2,DCV-rfRFE,0.692,19,46,NA,124,FALSE,2
Empirical,16S_meanShift2,5,2,CLR-LASSO,0.5,0,0,1.3400000000001455,124,FALSE,2
Empirical,16S_meanShift2,5,2,Coda-LASSO,0.5784,2,1,58.22200000000066,124,FALSE,2
Empirical,16S_meanShift2,5,2,DCV-ridgeRegression,0.7448,70,364,NA,124,FALSE,2
Empirical,16S_meanShift2,5,2,DCV-ridgeEnsemble,0.7424,70,364,NA,124,FALSE,2
Empirical,16S_meanShift2,5,2,DCV-rfRFE,0.738,61,222,NA,124,FALSE,2
